Symbol,CIK,Title
pmn,1374339,ProMIS Neurosciences Inc.
poci,867840,"PRECISION OPTICS CORPORATION, INC."
podc,1940177,"Courtside Group, Inc."
poet,1437424,POET TECHNOLOGIES INC.
ppbt,1614744,PURPLE BIOTECH LTD.
pre,1876431,Prenetics Global Ltd
prfx,1801834,PAINREFORM LTD.
prme,1894562,"Prime Medicine, Inc."
proc,1863362,"Procaps Group, S.A."
prof,1628808,Profound Medical Corp.
prok,1850270,PROKIDNEY CORP.
prqr,1612940,ProQR Therapeutics N.V.
prst,1822145,Presto Automation Inc.
prtc,1782999,PureTech Health plc
prtg,1095435,PORTAGE BIOTECH INC.
przo,1916241,ParaZero Technologies Ltd.
pshg,1481241,Performance Shipping Inc.
psny,1884082,Polestar Automotive Holding UK PLC
pt,1716338,Pintec Technology Holdings Ltd
puyi,1750264,"PUYI, INC."
pwm,1765850,Prestige Wealth Inc.
pxdt,1962845,"PIXIE DUST TECHNOLOGIES, INC."
pxmd,1811623,"PaxMedica, Inc."
pxs,1640043,Pyxis Tankers Inc.
pypd,1611842,PolyPid Ltd.
pyr,1743344,PyroGenesis Canada Inc.
qdel,1906324,QuidelOrtho Corp
qfin,1741530,"Qifu Technology, Inc."
qh,1781193,QUHUO Ltd
qipt,1540013,Quipt Home Medical Corp.
qli,1779578,Qilian International Holding Group Ltd
qnrx,1671502,"Quoin Pharmaceuticals, Ltd."
qsg,1932770,QuantaSing Group Ltd
raya,1825875,Erayak Power Solution Group Inc.
rcm,1910851,R1 RCM Inc. /DE
rcon,1442620,"Recon Technology, Ltd"
rdcm,1016838,RADCOM LTD
rdhl,1553846,RedHill Biopharma Ltd.
rdus,912603,"SCHNITZER STEEL INDUSTRIES, INC."
rdwr,1094366,RADWARE LTD
reax,1862461,Real Brokerage Inc
rebn,1707910,"Reborn Coffee, Inc."
ree,1843588,REE Automotive Ltd.
renb,1527728,RENOVARO BIOSCIENCES INC.
reto,1687277,"ReTo Eco-Solutions, Inc."
rgc,1829667,Regencell Bioscience Holdings Ltd
rgti,1838359,"Rigetti Computing, Inc."
rmcf,1616262,"Rocky Mountain Chocolate Factory, Inc."
rnlx,1811115,Renalytix plc
rnw,1848763,ReNew Energy Global plc
rtc,1381074,Baijiayun Group Ltd
rum,1830081,Rumble Inc.
rvsn,1743905,Rail Vision Ltd.
rvyl,1419275,RYVYL Inc.
ryaay,1038683,RYANAIR HOLDINGS PLC
ryzb,1825367,"RayzeBio, Inc."
sai,1847075,SAI.TECH Global Corp
sang,1753368,Sangoma Technologies Corp
satl,1874315,Satellogic Inc.
sbet,1025561,SharpLink Gaming Ltd.
sbfm,1402328,"Sunshine Biopharma, Inc"
sbgi,1971213,"Sinclair, Inc."
sblk,1386716,Star Bulk Carriers Corp.
sclx,1820190,Scilex Holding Co
scni,1611747,Scinai Immunotherapeutics Ltd.
scpl,1760717,SciPlay Corp
sctl,1588972,"Societal CDMO, Inc."
scwo,933972,374Water Inc.
sdot,1701756,Sadot Group Inc.
seco,1633441,Secoo Holding Ltd
seed,1321851,Origin Agritech LTD
sezl,1662991,Sezzle Inc.
sfr,1821075,"Appreciate Holdings, Inc."
sfwl,1863218,SHENGFENG DEVELOPMENT Ltd
sgdvv,1959023,Safe & Green Development Corp
sgml,1848309,Sigma Lithium Corp
sgmt,1400118,Sagimet Biosciences Inc.
shfs,1854963,"SHF Holdings, Inc."
ship,1448397,Seanergy Maritime Holdings Corp.
shlt,1166834,SHL TELEMEDICINE LTD
sify,1094324,SIFY TECHNOLOGIES LTD
silc,916793,SILICOM LTD.
simo,1329394,Silicon Motion Technology CORP
sj,1753673,Scienjoy Holding Corp
skwd,1519449,"Skyward Specialty Insurance Group, Inc."
slac,1834755,Social Leverage Acquisition Corp I
sle,1621672,"Super League Enterprise, Inc."
slgl,1684693,Sol-Gel Technologies Ltd.
sln,1479615,Silence Therapeutics plc
slrn,1962918,"ACELYRIN, Inc."
smfl,1851860,"SMART FOR LIFE, INC."
smx,1940674,SMX (Security Matters) Public Ltd Co
snal,1886894,"Snail, Inc."
sndl,1766600,SNDL Inc.
snt,896494,SENSTAR TECHNOLOGIES LTD.
sntg,1810467,Sentage Holdings Inc.
snti,1854270,"Senti Biosciences, Inc."
sny,1121404,Sanofi
sobr,1425627,"SOBR Safe, Inc."
sohu,1734107,Sohu.com Ltd
solo,1637736,ELECTRAMECCANICA VEHICLES CORP.
soph,1840706,SOPHiA GENETICS SA
soun,1840856,"SOUNDHOUND AI, INC."
spcb,1291855,SuperCom Ltd
spgc,1934245,"Sacks Parente Golf, Inc."
spns,885740,SAPIENS INTERNATIONAL CORP N V
sppl,1948697,SIMPPLE LTD.
sprc,1611746,SciSparc Ltd.
spry,1671858,"ARS Pharmaceuticals, Inc."
sptn,877422,SpartanNash Co
srad,1836470,Sportradar Group AG
srbk,1951276,"SR Bancorp, Inc."
srm,1956744,"SRM Entertainment, Inc."
ssys,1517396,STRATASYS LTD.
stbx,1914818,Starbox Group Holdings Ltd.
stcn,914712,"Steel Connect, Inc."
stho,1953366,Star Holdings
stix,1896049,"Semantix, Inc."
stkh,1828098,Steakholder Foods Ltd.
stne,1745431,StoneCo Ltd.
stss,1737995,Sharps Technology Inc.
surg,1392694,"SurgePays, Inc."
svre,1894693,SaverOne 2014 Ltd.
svvc,1495584,"Firsthand Technology Value Fund, Inc."
swag,1872525,"Stran & Company, Inc."
swin,1959224,"Solowin Holdings, Ltd."
swvl,1875609,Swvl Holdings Corp
sxtc,1723980,"China SXT Pharmaceuticals, Inc."
sxtp,1946563,"60 DEGREES PHARMACEUTICALS, INC."
sy,1758530,So-Young International Inc.
sym,1837240,Symbotic Inc.
syt,1946216,"SYLA Technologies Co., Ltd."
syta,1649009,Siyata Mobile Inc.
tanh,1588084,TANTECH HOLDINGS LTD
taop,1552670,Taoping Inc.
tatt,808439,TAT TECHNOLOGIES LTD
tbio,1850079,Telesis Bio Inc.
tbla,1840502,Taboola.com Ltd.
tbld,1820378,Thornburg Income Builder Opportunities Trust
tc,1743340,TuanChe Ltd
tcbp,1872812,TC BioPharm (Holdings) plc
tcjh,1938865,Top KingWin Ltd
tcom,1269238,Trip.com Group Ltd
team,1650372,Atlassian Corp
tectp,1766526,"Tectonic Financial, Inc."
tedu,1592560,"Tarena International, Inc."
tfin,1539638,"Triumph Financial, Inc."
tgl,1905956,TREASURE GLOBAL INC
thcp,1843993,"Thunder Bridge Capital Partners IV, Inc."
thrd,1923840,"Third Harmonic Bio, Inc."
thtx,1512717,Theratechnologies Inc.
tigo,912958,MILLICOM INTERNATIONAL CELLULAR SA
tigr,1756699,UP Fintech Holding Ltd
tio,854800,"Tingo Group, Inc."
tirx,1782941,TIAN RUIXIANG HOLDINGS LTD
tklf,1836242,"Yoshitsu Co., Ltd"
tlsa,1723069,Tiziana Life Sciences Ltd
tlsi,1826667,"TriSalus Life Sciences, Inc."
tmpo,1813658,"Tempo Automation Holdings, Inc."
tnon,1560293,"Tenon Medical, Inc."
top,1848275,TOP Financial Group Ltd
tops,1296484,TOP SHIPS INC.
toro,1941131,TORO CORP.
tour,1597095,Tuniu Corp
tpg,1880661,TPG Inc.
trib,888721,TRINITY BIOTECH PLC
trmd,1655891,TORM plc
trmr,1849396,Tremor International Ltd.
trnr,1785056,"Interactive Strength, Inc."
troo,1412095,"Troops, Inc. /Cayman Islands/"
trvg,1683825,trivago N.V.
tsat,1845840,Telesat Corp
tsbx,1764974,Turnstone Biologics Corp.
tsem,928876,TOWER SEMICONDUCTOR LTD
ttnp,910267,TITAN PHARMACEUTICALS INC
turb,1963439,"Turbo Energy, S.A."
txmd,25743,"TherapeuticsMD, Inc."
tygo,1855447,"TIGO ENERGY, INC."
ucar,1939780,U Power Ltd
ucl,1775898,uCloudlink Group Inc.
uhg,1830188,"United Homes Group, Inc."
uk,1821424,Ucommune International Ltd
upbd,933036,"UPBOUND GROUP, INC."
upc,1809616,Universe Pharmaceuticals INC
uptd,1844417,TradeUP Acquisition Corp.
uroy,1711570,Uranium Royalty Corp.
usea,1912847,United Maritime Corp
usgo,1947244,U.S. GoldMining Inc.
utsi,1030471,UTSTARCOM HOLDINGS CORP.
uxin,1729173,Uxin Ltd
valn,1836564,Valneva SE
vani,1266806,"Vivani Medical, Inc."
vblt,1603207,Vascular Biogenics Ltd.
vbnk,1690639,VersaBank
vcig,1930510,VCI Global Ltd
vcxa,1848898,10X Capital Venture Acquisition Corp. II
vedu,1892274,Visionary Education Technology Holdings Group Inc.
veee,1855509,"Twin Vee PowerCats, Co."
veon,1468091,VEON Ltd.
vev,1834975,VICINITY MOTOR CORP
vfsww,1913510,VinFast Auto Ltd.
vgas,1841425,"Verde Clean Fuels, Inc."
vinp,1826286,Vinci Partners Investments Ltd.
viot,1742770,"Viomi Technology Co., Ltd"
vivk,1450704,"Vivakor, Inc."
vjet,1582581,voxeljet AG
vmar,1813783,Vision Marine Technologies Inc.
vnet,1508475,"VNET Group, Inc."
vnom,1602065,Viper Energy Partners LP
vod,839923,VODAFONE GROUP PUBLIC LTD CO
voxr,1907909,Vox Royalty Corp.
vqs,1777765,VIQ Solutions Inc.
vrax,1885827,Virax Biolabs Group Ltd
vs,1701963,Versus Systems Inc.
vsta,1792829,Vasta Platform Ltd
vtru,1805012,Vitru Ltd
vvpr,1681348,VivoPower International PLC
wafu,1716770,Wah Fu Education Group Ltd
wald,1840199,Waldencast plc
wave,1846715,Eco Wave Power Global AB (publ)
wavs,1868419,Western Acquisition Ventures Corp.
wb,1595761,WEIBO Corp
west,1806347,Westrock Coffee Co
wetg,1784970,WeTrade Group Inc.
wgs,1818331,GeneDx Holdings Corp.
wilc,1030997,G WILLI FOOD INTERNATIONAL LTD
wimi,1770088,WiMi Hologram Cloud Inc.
wix,1576789,Wix.com Ltd.
wkey,1738699,Wisekey International Holding S.A.
wkme,1847584,WalkMe Ltd.
wlds,1887673,Wearable Devices Ltd.
wlgs,1899658,"WANG & LEE GROUP, Inc."
wnw,1787803,Meiwu Technology Co Ltd
wprt,1370416,WESTPORT FUEL SYSTEMS INC.
wrnt,1900564,WARRANTEE INC.
wtma,1866226,Welsbach Technology Metals Acquisition Corp.
wto,1789299,UTime Ltd
xnet,1510593,Xunlei Ltd
xp,1787425,XP Inc.
xpon,1894954,Expion360 Inc.
xrtx,1729214,XORTX Therapeutics Inc.
xtlb,1023549,XTL BIOPHARMACEUTICALS LTD
xwel,1410428,"XWELL, Inc."
ygf,1875496,"YanGuFang International Group Co., Ltd"
yi,1738906,"111, Inc."
yj,1759614,Yunji Inc.
yosh,1898604,Yoshiharu Global Co.
yota,1907730,Yotta Acquisition Corp
yq,1821468,17 Education & Technology Group Inc.
ytra,1516899,"Yatra Online, Inc."
yy,1530238,JOYY Inc.
zapp,1955104,Zapp Electric Vehicles Group Ltd
zcmd,1785566,Zhongchao Inc.
zenv,1836934,Zenvia Inc.
zfox,1823575,"ZeroFox Holdings, Inc."
zimv,1876588,ZimVie Inc.
zjyl,1837821,Jin Medical International Ltd.
zkin,1687451,"ZK International Group Co., Ltd."
ztek,1904501,Zentek Ltd.
zura,1855644,Zura Bio Ltd
zvra,1434647,"ZEVRA THERAPEUTICS, INC."
zvsa,1859007,"ZyVersa Therapeutics, Inc."
zyme,1937653,Zymeworks Inc.
